Roof Type,Walk-ability,Home Size (Sq. Ft.),Architectural Composite Shingles Min,Architectural Composite Shingles Max,Standing Seam Metal Min,Standing Seam Metal Max,Low Slope/Single Ply Membrane Min,Low Slope/Single Ply Membrane Max
Cross Hipped,Walkable,0 - 1000 Sq. Ft.,7800,20000,19500,50000,15600,40000
Cross Hipped,Walkable,1000 - 1750 Sq. Ft.,10400,26000,26000,65000,20800,52000
Cross Hipped,Walkable,1750 - 2500 Sq. Ft.,15600,34000,39000,85000,31200,68000
Cross Hipped,Walkable,2500+ Sq. Ft.,19500,42000,48750,105000,39000,84000
Cross Hipped,Slightly Walkable,0 - 1000 Sq. Ft.,8450,21000,21125,52500,16900,42000
Cross Hipped,Slightly Walkable,1000 - 1750 Sq. Ft.,11050,27000,26625,67500,22100,54000
Cross Hipped,Slightly Walkable,1750 - 2500 Sq. Ft.,16250,35000,40625,87500,32500,70000
Cross Hipped,Slightly Walkable,2500+ Sq. Ft.,20150,43000,50375,107500,40300,86000
Cross Hipped,Too Steep to Walk,0 - 1000 Sq. Ft.,9100,22000,22750,55000,18200,44000
Cross Hipped,Too Steep to Walk,1000 - 1750 Sq. Ft.,11700,28000,26250,70000,23400,56000
Cross Hipped,Too Steep to Walk,1750 - 2500 Sq. Ft.,16900,36000,42250,90000,33800,72000
Cross Hipped,Too Steep to Walk,2500+ Sq. Ft.,20800,48000,52000,120000,41600,96000
Dormer,Walkable,0 - 1000 Sq. Ft.,7800,20000,19500,50000,15600,40000
Dormer,Walkable,1000 - 1750 Sq. Ft.,10400,26000,26000,65000,20800,52000
Dormer,Walkable,1750 - 2500 Sq. Ft.,15600,34000,39000,85000,31200,68000
Dormer,Walkable,2500+ Sq. Ft.,19500,42000,48750,105000,39000,84000
Dormer,Slightly Walkable,0 - 1000 Sq. Ft.,8450,21000,21125,52500,16900,42000
Dormer,Slightly Walkable,1000 - 1750 Sq. Ft.,11050,27000,26625,67500,22100,54000
Dormer,Slightly Walkable,1750 - 2500 Sq. Ft.,16250,35000,40625,87500,32500,70000
Dormer,Slightly Walkable,2500+ Sq. Ft.,20150,43000,50375,107500,40300,86000
Dormer,Too Steep to Walk,0 - 1000 Sq. Ft.,9100,22000,22750,55000,18200,44000
Dormer,Too Steep to Walk,1000 - 1750 Sq. Ft.,11700,28000,26250,70000,23400,56000
